//******************************
// Texts for Big Map Campaigns
//******************************

// Resource Names

StratRes0	No Resource
StratRes1	Food
StratRes2	Gold
StratRes3	Iron
StratRes4	Coal

ResName1	Wood
ResName2	Food
ResName3	Stone
ResName4	Gold
ResName5	Iron
ResName6	Coal
ResName9	Recruits

#CHINT_Res0	Wood - resource in every sector.
#CHINT_Res1	Gold - quarrying in every sector. It's the main resource of some sectors.
#CHINT_Res2	Stone - quarrying in every sector.
#CHINT_Res3	Food - resource in every sector. It's the main resource of some sectors.
#CHINT_Res4	Iron - main resource of some sectors.
#CHINT_Res5	Coal - main resource of some sectors.
#CHINT_Res6	Recruits - total number of recruits in the country, entering from every sector.

// end of Resources



///////////////////////////////////////
// TEXTS


#CWT_BigMapHead	BATTLE FOR EUROPE:  {CG}%s,  %s{C}

#CWV_WorldMap	Europe Map
#CWV_Diplomacy	Diplomacy
#CWV_Personal	Commanders
#CWV_Messages	Messages
#CWV_Market	Market
#CWV_Briefing	Briefing

#CHINT_WorldMap	Europe Map Menu ({CG}TAB{C})
#CHINT_Diplomacy Diplomacy Menu
#CHINT_Personal	Commanders List Menu
#CHINT_Messages	Messages List And Statistics
#CHINT_Market	Market Menu
#CHINT_Briefing	Mission Briefing


#CWB_EndOfTurn	End Of Turn
#CWB_Quit	Quit campaign.

#CWM_EndOfTurn	Do you really want to end your turn (commander can make a move)?
#CWM_Quit	Quit campaign?

#CHINT_EndOfTurn Pass the turn to your opponents. ({CG}ENTER{C})
#CHINT_Quit	Back to the single player menu. ({CG}ESC{C})

#CHINT_ENTERKEY	 ({CG}ENTER{C})
#CHINT_ESCKEY	 ({CG}ESC{C})

#CWM_CSurrend	{CR}%s{C} wish to surrender at discretion of your country! Do you accept?
#CWM_CSurrend2	Sectors of {CR}%s{C} become part of your country.

#CWM_CountryDef	{CR}%s{C} has been vanquished!
#CWM_TotalVict	{CR}Congratulations!{C}\All of the enemy countries are defeated.\Europe is under your control!\{CR}You are victorious!{C}
#CWM_TotalLoose	{CR}%s{C} has been vanquished!\The enemy armies are too strong!\{CR}You have been defeated!{C}


#CWM_AttackSect	You are about to attack this sector. Proceed?

#CWM_NoArmy	You have no army!!! {CR}%s{C} can not attack! ({CR}Commanders Bookmark{C})

#CWM_SectBattle0	A message was received:\ {CR}Sector {CR}%s{C} has been occupied by %s.{C}
#CWM_SectBattle1	A message was received:\ The sector {CR}%s{C} garrison has repulsed %s's attack.

                                      
#CWM_UpdateHeroRank	{CR}%s{C} was promoted to {CR}%s{C}.

#CWM_HeroGetAward0	For defeating enemy troops {CR}%s{C} receive a reward:\ (Rewards quantity: %d; Experience +%d). 
#CWM_HeroGetAward1	For defeating enemy troops {CR}%s{C} receive a reward:\ (Rewards quantity: %d; Experience +%d). 
#CWM_HeroGetAward2	For defeating enemy troops {CR}%s{C} receive a reward:\ (Rewards quantity: %d; Experience +%d). 
#CWM_HeroGetAward3	For defeating enemy troops {CR}%s{C} receive a reward:\ (Rewards quantity: %d; Experience +%d). 
#CWM_HeroGetAward4	For defeating enemy troops {CR}%s{C} receive a reward:\ (Rewards quantity: %d; Experience +%d). 


#CWM_HeroCantMove	{CR}%s{C} can't make a move.\ To pass the turn to your opponents, press {CR}End Of Turn{C}.

#CWM_NoEnoughRes	You don't have enough resources for this action\ (%s)!


#CDT_Area	Sector:
#CDT_Country	Country
#CDT_Villages	Villages
#CDT_PlayerName Player
#Vill	Villages:
#MainRes	Main Resource:
#Population#	Population:
#Mobilization#	Recruits:
#Reinforce#	Reinforce
#Upgrade#	Upgrade

#CWT_PopltnLVL0 Low
#CWT_PopltnLVL1 Fair
#CWT_PopltnLVL2 Dense

#CHINT_SectIncomeRes	Resources output in the sector for one turn.

#Experience	Experience:
#SquadsN	Squads:

#CHINT_Next_Exp_Level	Experience. Next Level:
#CHINT_MaxExpLevel	MAX. Experience:


#CWT_CurrentTurn	Current Turn:
#CWT_NumOfSectors	Number of Sectors:
#CWT_ResourSupply	Resources Supply:

#CWT_Quantity	Rewards Quantity:


// for Sectors defence

#Defence# Defense Level:
#UpgradeDef#	Upgrade defense.
#CWM_UpgradeDef	Upgrade sector's defense level\ (%s)?
#CHINT_UpgDef	Upgrade sector's defense level.

#CWT_DefenceLvl0 Low
#CWT_DefenceLvl1 Average
#CWT_DefenceLvl2 Normal
#CWT_DefenceLvl3 Strong

#CHINT_DefenceSQN (%d garrison squads)
/#CHINT_DefenceSQN	(%d garrison squads)



// for Sabotage Sector

#CWB_Diversion	Sabotage Sector
#CHINT_Diversion Try to sabotage the sector to undermine its economy.

#CWM_Diversion0	- Poison the wells in the village. (%s of gold; %d%%)
#CWM_Diversion1	- Destroy strategic warehouses. (%s of gold; %d%%)
#CWM_Diversion2	- Blow up garrison's barracks. (%s of gold; %d%%)
#CWM_Diversion3	- Raise a rebellion. (%s of gold; %d%%)

#CWM_DiversionDone0	Wells in the majority of villages are poisoned (no recruits for the next turn in this sector). Sabotage has been carried out successfully!
#CWM_DiversionDone1	Mercenaries successfully destroyed strategic warehouses (country won't receive resources from this sector next turn). Sabotage has been successful!
#CWM_DiversionDone2	Mercenaries successfully blew up the garrison's barracks (quantity of garrison in this sector reduced). Sabotage has been successful!
#CWM_DiversionDone3	Rebellion flared up in this sector. Sabotage has been successful!

#CWM_DiversionFail0	Enemy patrols have forced the mercenaries to leave the country. Mission failed!
#CWM_DiversionFail1	While conducting a sabotage, mercenaries were involved in a skirmish with soldiers. Almost all the mercenaries died. Mission failed!
#CWM_DiversionFail2	The garrison's soldiers have arrested and imprisoned all of the mercenaries. Mission failed!
#CWM_DiversionFail3	The hired people were incapable of achieving the goal. Mission failed!
#CWM_DiversionFail4	The leader of the group died in the fight. Mercenaries won't achieve the goal without him. Mission failed!

#CHINT_Diversion0	Hire a group of mercenaries to poison the villages wells in the sector (the number of recruits will be reduced your next turn).
